VARIABLES= "X", "Y", "Z","T"
1.7666 1.48521 0.471081 3.65076
1.59905 1.40249 0.21422 5.14001
1.51697 1.55181 0.275376 8.00495
1.78393 1.55727 0.385313 2.99949
1.76136 1.38842 0.448583 3.81622
1.30433 1.05201 0.0859455 6.10148
1.84807 1.53691 0.446728 2.41197
1.82451 1.50767 0.435768 2.76234
1.80019 1.5114 0.335627 2.66944
1.82592 1.47461 0.348956 2.41995
1.80633 1.43489 0.371505 2.6957
1.55504 1.60683 0.698874 7.60331
1.66914 1.51719 0.572911 5.66643
1.61978 1.4719 0.67803 6.17094
1.72082 1.5864 0.719186 3.99098
1.74406 1.51543 0.705957 3.8009
1.63874 1.22235 0.227258 3.54013
1.69628 1.2303 0.399129 3.47585
1.74529 1.33448 0.247283 3.06974
1.72695 1.3075 0.219717 2.72188
1.71653 1.22813 0.278065 2.82791
1.58407 1.28191 0.274853 5.86001
1.75008 1.52255 0.447372 3.54931
1.49929 1.54251 0.553125 9.49769
1.64823 1.42438 0.394987 5.44977
1.68008 1.34564 0.276216 3.88254
1.64238 1.53321 0.241142 4.54696
1.6079 1.31391 0.712166 5.92256
1.47564 1.35948 0.485995 9.48488
1.67272 1.38211 0.419546 5.24572
1.74413 1.23323 0.440933 3.31853
1.57606 1.25623 0.530606 6.9226
1.72683 1.29311 0.496793 3.80316
1.7378 1.50153 0.618288 4.28556
1.52084 1.60857 0.50754 9.10588
1.54027 1.51564 0.545237 8.75318
1.75162 1.67143 0.466778 3.68035
1.06692 1.34715 0.981797 162.725
1.76293 1.44149 0.389968 3.5002
1.53259 1.51685 0.456311 8.31019
1.62094 1.57422 0.531153 6.60628
1.76194 1.41248 0.484633 3.77873
1.68017 1.73925 0.297892 4.04335
1.75597 1.59824 0.608169 3.60088
1.40785 1.69261 0.534447 12.6762
1.55352 1.37315 0.692698 7.60455
1.50794 1.28773 0.558127 8.59197
1.56715 1.35388 0.656802 7.46522
1.52123 1.44654 0.603484 9.36499
1.65291 1.31464 0.604364 5.71916
1.69233 1.44169 0.633742 5.29512
1.32568 1.07417 0.0356766 3.66751
1.75877 1.4106 0.542393 4.13536
1.62863 1.25256 0.634853 5.8266
1.0307 1.29132 0.933289 126.928
1.72594 1.30053 0.61555 3.8023
1.59635 1.37614 0.631295 7.53528
1.52481 1.56194 0.695704 8.55145
1.53438 1.01673 0.127949 1.10977
1.74869 1.32399 0.585721 3.80092
1.49201 1.24025 0.476521 7.92495
1.15899 1.98382 0.117441 34.7929
1.98577 1.36733 0.36988 0.376106
1.25516 1.11183 0.0303687 9.2534
1.5338 1.32306 0.753699 8.06768
1.26666 1.287 0.529107 16.9398
1.42153 1.27342 0.59394 11.6358
1.49135 1.33757 0.725912 10.391
1.53304 1.69506 0.387744 8.75367
1.27982 1.48632 0.267216 17.0753
1.83505 1.8641 0.742457 1.19285
1.86604 1.85614 0.753551 0.925656
1.77826 1.77485 0.727849 2.22367
1.79914 1.81612 0.714693 2.0216
1.87344 1.80337 0.773178 1.08677
1.79347 1.72854 0.772002 2.14694
1.80521 1.80516 0.785873 1.79654
1.24869 1.4089 0.270329 18.333
1.48022 1.34166 0.656163 9.97065
1.207 1.51514 0.505071 15.7778
1.19134 1.36877 0.496824 16.8458
1.17052 1.39427 0.460067 15.8435
1.18883 1.41808 0.430369 15.7064
1.2331 1.42582 0.431158 15.748
1.18187 1.48833 0.465346 15.1286
1.79725 1.23137 0.463717 2.46375
1.79768 1.35101 0.510147 2.80061
1.73723 1.43476 0.509747 4.37339
1.79976 1.3198 0.468804 2.89806
1.01416 1.71999 0.757298 15.5579
1.61651 1.19364 0.194557 3.36065
1.51797 1.3612 0.219956 6.8981
1.47197 1.28663 0.227221 6.82375
1.45898 1.21807 0.254369 7.60186
1.54672 1.15351 0.2505 4.73404
1.50523 1.35727 0.268088 7.64333
1.31957 1.11079 0.0318877 4.32316
1.7449 1.73698 0.64374 3.24121
1.09142 1.25306 0.983693 66.1363
1.77127 1.6782 0.614941 2.97757
1.70819 1.76 0.549415 3.8294
1.6378 1.75733 0.59596 5.26948
1.90756 1.84038 0.984358 0.250805
1.67614 1.47627 0.72211 4.88837
1.80617 1.56721 0.568903 2.94763
1.7612 1.57205 0.566424 3.46884
1.60039 1.79683 0.584721 5.81225
